sentence,translate
OMG THE FITS,😂😄
WHIPLASH IS THE SCARIEST HORROR FILM I'VE EVER WATCHED. KUDOS TO JK SIMMONS,😣👀👍🙏
Y’all still fighting?,🤔👍
Comparison is killing me slowly,💀😣
"ᅠ⠀ ᅠ⠀ ᅠ⠀ Natsu  may  be  bigger  than  me ,  but  my  ass  is  still  fatter 。 I  call  that  a  win ✌ ᅠ⠀ ᅠ⠀ ᅠ⠀",🤔😂👍🎉
"HE’S SO,!.’?.’",👨🤔
bro!! as innn,👨
WAIT 127 DID A LIVE!?,🤔📅👀
Soap is love,👉❤️
"First you get hurt, and then there's healing. It's a process, believe me.",😣💉🙏🤔
What does this even mean tho? I don't think it's that easy.,🤔❌
YELENA MY LOVE SPARE HAND IN MARRIAGE PLEASE 🥺😫,👩❤️🥰
sibling love &lt;3,❤️
oh god im gonna lose all my followers,😂❌📱🏃
"i was reading a manhwa and it was interesting until it pulled a ""10 years later"" :/",👀📖😄😂
This model is replicable. You can do it too!!,💼👍
Its 4 am and i am still not asleep,📅❌😴
"Houston, Shan bday, New Orleans, Dating Anniversary…. Back to back 😭",🏠⛪️🥰
august. taylor swift knew,📅👩🎵
Lol y’all act like it’s not a normal thing for ppl to receive money on their bday.,👨‍👩‍👦❌💰
NOOOOOOO TOM😭😭😭😭😭,😣❌👨
shes pretty,👩👍
"if you think i’m coming back, don’t hold your breath",🤔🏠❌😂
Eating blueberry waffles on a blue plate,🍳
"hello, yes. it's august. which means this will officially be turning into a Miles Sanders stan account. changes are imminent",👋📅
Stank ass bitch,👩❌💩
Does he know Big Al is on his Ravens hahaha. Smh,🤔👨😂
"KD has done more, Giannis is on a greater trajectory.",👨👍👩👎
Cannot even shut the fucking door and cry in my own space. Privacy is a privilege!,❌🏠😡😣
I’m starting to love the color Navy Blue 👌🏽,❤️
Bellerin is shit on another level,👨💩
Yeah y’all win,👍🎉
i just want to drive to somewhere new &amp; disconnect,🤔🚗⛪️
"twitter, fb, line.",📱💬
babyy 😭 she's so cuteee,👍😍😂
i'm watching guanyin temple and theres so much being told in the use of names and titles and honorifics and it just doesn't get translated,👀💬
"There’s a kid in Detroit excited to attend the show tonight, unaware that a woman with blue will laugh in their face later. 😌",👨🎉👩😢
What Is The DOC Hiding! Where Are The Patriots!,🤔
thats crazy my friend still gonna buy it anyways!,👍💰
these not even dunks 🥺,❌😣
It’s always the ugliest bitches saying they hate men. No shit cause you can’t get one 🤣🤣,👎👩💬❌👨
this man’s saturn return is kicking his ass but necessarily so cuz he gotta learn his lesson somehow,👨📖😂
Life anagaga...,😂
- fuck around and just wait till i go home and make a sandwich 🤧,🏃🏠🍳
Today will be GREAT.,📅👍
Lol Hlanti just don't care😀,😂👨❌
"Game night in the making 😉, let’s make that list now on who’s coming",🎮⏰🤔👨🏃
"She turns back to the caldera, to the welling lava.",👩🏃
who am i?,🤔👨
“It ain’t my job to make a nigga happy” - my grandma,👩❌💼👉😄
Sam Mayer sucks and is giving RCR empty pockets,👨👎
Fools think you ain’t goin talk back.,👨❌💬
jenoo and also his lil brother jisung,👨👉👨
Congratulations adi 🥳  WE WANT SAAKK S2,🎉👨👨‍👩‍👦
Does anybody with a huge fan base wanna retweat any of my posts for some free content ? Retweet the pinned post for a dm,👨🤔📱
"No brain,no pain",❌💬❌💔
Crazy!!!,😂🎉
also i do not wanna think about yoongi with kids because i’ll start fucking bawling so let’s Not.,❌👨💬
I love her,🥰❤️👩
Dw world I only got tinder to see if my bf is on there and I don’t know about it,👀👨❌🤔
"Maturing is realizing, all spider men in the Spider man movies are good representations for the character 👍🏾",👨👍👀
"Have a headache? Then stop looking at your screen lol, trust me, it'll help.",😷🤔❌👀📱
not really but that's okay 🥰 i'll try to have a good day either way!,😄👍
this is the worst birthday i’ve ever been to,😣🎉📅
hey anyone october 11th ahaha,🤔📅😣
"Can everyone wake up already, I’m bored",🤔😣
Lockdown isn’t helping my sleeping schedule because I can sleep in till 1pm without feeling guilt… which means I’m up till 3-4am 😅😅,❌😴⏰
TU HOW ABOUT ME!!!!!!,😂
July is over??? i mean AUGUST SO 🤣🤣🤣🤣😭😭😭😭🤡🤡🤡,📅🤔📅😂
wins! ✨,🎉
Lmaoooo fuck fronto blunts for this reason alone 🤣🤣🤣 spliffs or woods,😂😡
I see R9,👀
Why do girls move the seats SO far forward in cars,🤔👩🚗
"Niggas really be lying on my name👀🤦🏿‍♂️. I don’t even lie on my dick, so why tf you lying on me🤷🏿‍♂️😭",👨😂🤔
