sentence,translate
"People who STILL have my notifs on, I love you and your the most amazing people to ever exist &lt;3",👨❤️🥰👨
Thank you everyone who joined the stream today! And thanks to @/Jrush13 and @/VOIDsoupS for the raids!,🙏👨🏃🙏
where is rachel weisz??,🤔👨
Summer in the Netherlands:  Rain Rain Rain Oh sun Rain More rain…   Getting fucking tired of this shit!,🌞🏠💦💩
I have emptied the entire Emmarose ship into the bin cause what!!! Ozone my ever loyal ship,👋
so the nct not showering thing was true,❌👀
lol why is it so hot,😂🤔🔥
zain acting gay on the tl then getting mad when xe gets called out 😕,👨👻😡👩📱
You you you you,👨👨👨👨
Sara Jacobs is good you guys,👩👍👨‍👩‍👦
I’m the moisture master.,👨💦👻😂
Can i have at least one track in their cb album wd all rapper lines just spitting fire 🔥😎,🤔📖🎵
Demons are just angels with their backs turned,👻
Now why she in it?,🤔👉👩
"I never confess my feelings to him, bcs idk... he might not liking me back bcs i am not that pretty I guess???",❌💬👉👨😣
lyrics of war of hormone,🎵👨👨
Keep it cute,👻😂
"You can’t cancel someone who has a strong core fanbase, losing shows and endorsements is a set back but long as pure streams are there…",❌👨😣
"wtf yo after 10 thousand years of him teasing ofuro stream, he rlly did it?",😡📅👨🤔
“dive in action” more like… OH IM ABOUT TO DIVE IN,😂🏃👉
"Always on the right side of everything, Clay Jenkins.",👍👉👨
Crusty ass men living in basements have nothing better to do,😡👨🏠❌
"Ha ke boela jhb next week, I'll only ever come home again in Dec.  Ganke go fela monate gotla gae😒😒",📅🏃👉🏠📅
I really didn’t need this reminder today but thanks 😑,👨❌📅🙏
shhhh treasure,😂👍🎉
wake up &amp; thank God for the day!🙏🏾💫,😴😄🙏
it’s august wtf 😳,📅😂
Buying this and challenging everybody on Nextdoor to a shootout at high noon,💰👨‍👩‍👦🏠🌛
Don’t let anyone steal your joy.,❌👨👉😄
ahhh i’m probably gonna be ia(ish) for awhile🙃,😄😂
Every day the bus comes then I start To lose it,📅🚗❌🏃😣
// HE LOST TO THE POWER OF FRIENDSHIP 😱😱 /J,👨❌👨
